01.00,"Agriculture, General."
01.01,Agricultural Business and Management.
01.02,Agricultural Mechanization.
01.03,Agricultural Production Operations.
01.04,Agricultural and Food Products Processing.
01.05,Agricultural and Domestic Animal Services.
01.06,Applied Horticulture and Horticultural Business Services.
01.07,International Agriculture.
01.08,Agricultural Public Services.
01.09,Animal Sciences.
01.10,Food Science and Technology.
01.11,Plant Sciences.
01.12,Soil Sciences.
01.13,Agriculture/Veterinary Preparatory Programs.
01.80,Veterinary Medicine.
01.81,Veterinary Biomedical and Clinical Sciences.
01.82,Veterinary Administrative Services.
01.83,Veterinary/Animal Health Technologies/Technicians.
01.99,"Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other."
03.01,Natural Resources Conservation and Research.
03.02,Environmental/Natural Resources Management and Policy.
03.03,Fishing and Fisheries Sciences and Management.
03.05,Forestry.
03.06,Wildlife and Wildlands Science and Management.
03.99,"Natural Resources and Conservation, Other."
04.02,Architecture.
04.03,"City/Urban, Community, and Regional Planning."
04.04,Environmental Design.
04.05,Interior Architecture.
04.06,Landscape Architecture.
04.08,"Architectural History, Criticism, and Conservation."
04.09,Architectural Sciences and Technology.
04.10,Real Estate Development.
04.99,"Architecture and Related Services, Other."
05.01,Area Studies.
05.02,"Ethnic, Cultural Minority, Gender, and Group Studies."
05.99,"Area, Ethnic, Cultural, Gender, and Group Studies, Other."
09.01,Communication and Media Studies.
09.04,Journalism.
09.07,"Radio, Television, and Digital Communication."
09.09,"Public Relations, Advertising, and Applied Communication."
09.10,Publishing.
09.99,"Communication, Journalism, and Related Programs, Other."
10.01,Communications Technologies/Technicians.
10.02,Audiovisual Communications Technologies/Technicians.
10.03,Graphic Communications.
10.99,"Communications Technologies/Technicians and Support Services, Other."
11.01,"Computer and Information Sciences, General."
11.02,Computer Programming.
11.03,Data Processing.
11.04,Information Science/Studies.
11.05,Computer Systems Analysis.
11.06,Data Entry/Microcomputer Applications.
11.07,Computer Science.
11.08,Computer Software and Media Applications.
11.09,Computer Systems Networking and Telecommunications.
11.10,Computer/Information Technology Administration and Management.
11.99,"Computer and Information Sciences and Support Services, Other."
12.03,Funeral Service and Mortuary Science.
12.04,Cosmetology and Related Personal Grooming Services.
12.05,Culinary Arts and Related Services.
12.06,Casino Operations and Services.
12.99,"Culinary, Entertainment, and Personal Services, Other."
13.01,"Education, General."
13.02,"Bilingual, Multilingual, and Multicultural Education."
13.03,Curriculum and Instruction.
13.04,Educational Administration and Supervision.
13.05,Educational/Instructional Media Design.
13.06,"Educational Assessment, Evaluation, and Research."
13.07,International and Comparative Education.
13.09,Social and Philosophical Foundations of Education.
13.10,Special Education and Teaching.
13.11,Student Counseling and Personnel Services.
13.12,"Teacher Education and Professional Development, Specific Levels and Methods."
13.13,"Teacher Education and Professional Development, Specific Subject Areas."
13.14,Teaching English or French as a Second or Foreign Language.
13.15,Teaching Assistants/Aides.
13.99,"Education, Other."
14.01,"Engineering, General."
14.02,"Aerospace, Aeronautical, and Astronautical/Space Engineering."
14.03,Agricultural Engineering.
14.04,Architectural Engineering.
14.05,Biomedical/Medical Engineering.
14.06,Ceramic Sciences and Engineering.
14.07,Chemical Engineering.
14.08,Civil Engineering.
14.09,Computer Engineering.
14.10,"Electrical, Electronics, and Communications Engineering."
14.11,Engineering Mechanics.
14.12,Engineering Physics.
14.13,Engineering Science.
14.14,Environmental/Environmental Health Engineering.
14.18,Materials Engineering.
14.19,Mechanical Engineering.
14.20,Metallurgical Engineering.
14.21,Mining and Mineral Engineering.
14.22,Naval Architecture and Marine Engineering.
14.23,Nuclear Engineering.
14.24,Ocean Engineering.
14.25,Petroleum Engineering.
14.27,Systems Engineering.
14.28,Textile Sciences and Engineering.
14.32,Polymer/Plastics Engineering.
14.33,Construction Engineering.
14.34,Forest Engineering.
14.35,Industrial Engineering.
14.36,Manufacturing Engineering.
14.37,Operations Research.
14.38,Surveying Engineering.
14.39,Geological/Geophysical Engineering.
14.40,Paper Science and Engineering.
14.41,Electromechanical Engineering.
14.42,"Mechatronics, Robotics, and Automation Engineering."
14.43,Biochemical Engineering.
14.44,Engineering Chemistry.
14.45,Biological/Biosystems Engineering.
14.47,Electrical and Computer Engineering.
14.48,Energy Systems Engineering.
14.99,"Engineering, Other."
15.00,"Engineering Technologies/Technicians, General."
15.01,Architectural Engineering Technologies/Technicians.
15.02,Civil Engineering Technologies/Technicians.
15.03,Electrical/Electronic Engineering Technologies/Technicians.
15.04,Electromechanical Technologies/Technicians.
15.05,Environmental Control Technologies/Technicians.
15.06,Industrial Production Technologies/Technicians.
15.07,Quality Control and Safety Technologies/Technicians.
15.08,Mechanical Engineering Related Technologies/Technicians.
15.09,Mining and Petroleum Technologies/Technicians.
15.10,Construction Engineering Technology/Technician.
15.11,Engineering-Related Technologies/Technicians.
15.12,Computer Engineering Technologies/Technicians.
15.13,Drafting/Design Engineering Technologies/Technicians.
15.14,Nuclear Engineering Technology/Technician.
15.15,Engineering-Related Fields.
15.16,Nanotechnology.
15.17,Energy Systems Technologies/Technicians.
15.99,"Engineering/Engineering-Related Technologies/Technicians, Other."
16.01,"Linguistic, Comparative, and Related Language Studies and Services."
16.02,"African Languages, Literatures, and Linguistics."
16.03,"East Asian Languages, Literatures, and Linguistics."
16.04,"Slavic, Baltic and Albanian Languages, Literatures, and Linguistics."
16.05,"Germanic Languages, Literatures, and Linguistics."
16.06,Modern Greek Language and Literature.
16.07,"South Asian Languages, Literatures, and Linguistics."
16.08,"Iranian/Persian Languages, Literatures, and Linguistics."
16.09,"Romance Languages, Literatures, and Linguistics."
16.10,"American Indian/Native American Languages, Literatures, and Linguistics."
16.11,"Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics."
16.12,"Classics and Classical Languages, Literatures, and Linguistics."
16.13,"Celtic Languages, Literatures, and Linguistics."
16.14,"Southeast Asian and Australasian/Pacific Languages, Literatures, and Linguistics."
16.15,"Turkic, Uralic-Altaic, Caucasian, and Central Asian Languages, Literatures, and Linguistics."
16.16,American Sign Language.
16.17,Second Language Learning.
16.18,"Armenian Languages, Literatures, and Linguistics."
16.99,"Foreign Languages, Literatures, and Linguistics, Other."
19.00,Work and Family Studies.
19.01,"Family and Consumer Sciences/Human Sciences, General."
19.02,Family and Consumer Sciences/Human Sciences Business Services.
19.04,Family and Consumer Economics and Related Studies.
19.05,"Foods, Nutrition, and Related Services."
19.06,Housing and Human Environments.
19.07,"Human Development, Family Studies, and Related Services."
19.09,Apparel and Textiles.
19.10,Work and Family Studies.
19.99,"Family and Consumer Sciences/Human Sciences, Other."
22.00,Non-Professional Legal Studies.
22.01,Law.
22.02,Legal Research and Advanced Professional Studies.
22.03,Legal Support Services.
22.99,"Legal Professions and Studies, Other."
23.01,"English Language and Literature, General."
23.13,Rhetoric and Composition/Writing Studies.
23.14,Literature.
23.99,"English Language and Literature/Letters, Other."
